_Id,_PostHistoryTypeId,_PostId,_RevisionGUID,_CreationDate,_UserId,_Text,_Comment,_UserDisplayName
1,2,1,e58bf7fd-e60f-4c58-a6e4-dfc91cf98a69,2010-07-19T19:12:12.510,8,How should I elicit prior distributions from experts when fitting a Bayesian model?,,
2,1,1,e58bf7fd-e60f-4c58-a6e4-dfc91cf98a69,2010-07-19T19:12:12.510,8,Eliciting priors from experts,,
3,3,1,e58bf7fd-e60f-4c58-a6e4-dfc91cf98a69,2010-07-19T19:12:12.510,8,<bayesian><prior><elicitation>,,
4,2,2,18bf9150-f1cb-432d-b7b7-26d2f8e33581,2010-07-19T19:12:57.157,24,"In many different statistical methods there is an ""assumption of normality"".  What is ""normality"" and how do I know if there is normality?",,
5,1,2,18bf9150-f1cb-432d-b7b7-26d2f8e33581,2010-07-19T19:12:57.157,24,What is normality?,,
6,3,2,18bf9150-f1cb-432d-b7b7-26d2f8e33581,2010-07-19T19:12:57.157,24,<normality-assumption>,,
7,2,3,6320bb0f-c792-4a8c-8083-89507c28d375,2010-07-19T19:13:28.577,18,What are the most valuable Statistical Analysis open source projects available right now?,,
8,1,3,6320bb0f-c792-4a8c-8083-89507c28d375,2010-07-19T19:13:28.577,18,What are the most valuable Statistical Analysis open source projects available?,,
9,3,3,6320bb0f-c792-4a8c-8083-89507c28d375,2010-07-19T19:13:28.577,18,<open-source>,,
10,16,3,6320bb0f-c792-4a8c-8083-89507c28d375,2010-07-19T19:13:28.577,18,,,
11,2,4,ccbe017d-d22c-4c0a-83b0-1d82a792a098,2010-07-19T19:13:31.617,23,"I have two groups of data.  Each with a different distribution of multiple variables.  I'm trying to determine if these two groups' distributions are different in a statistically significant way.  I have the data in both raw form and binned up in easier to deal with discrete categories with frequency counts in each.  

What tests/procedures/methods should I use to determine whether or not these two groups are significantly different and how do I do that in SAS or R (or Orange)?",,
12,1,4,ccbe017d-d22c-4c0a-83b0-1d82a792a098,2010-07-19T19:13:31.617,23,Assessing the significance of differences in distributions,,
13,3,4,ccbe017d-d22c-4c0a-83b0-1d82a792a098,2010-07-19T19:13:31.617,23,<distributions><statistical-significance>,,
14,2,5,5631dbb1-2781-4924-b7bd-5a67c06c5e4e,2010-07-19T19:14:43.050,23,"The R-project

http://www.r-project.org/",,
15,16,5,5631dbb1-2781-4924-b7bd-5a67c06c5e4e,2010-07-19T19:14:43.050,-1,,,
16,2,6,18914b59-1d73-4c14-a8b6-25d429a1888e,2010-07-19T19:14:44.080,5,"Last year, I read a blog post from [Bendan O'Connor][1] entitled [""Statistics vs. Machine Learning, fight!""][2] that discussed some of the differences between the two fields.  [Andrew Gelman responded to favorably to this][3]:

Simon Blomberg: 
> From R's fortunes
> package: To paraphrase provocatively,
> 'machine learning is statistics minus
> any checking of models and
> assumptions'.
> -- Brian D. Ripley (about the difference between machine learning
> and statistics) useR! 2004, Vienna
> (May 2004) :-) Season's Greetings!

Andrew Gelman:

> In that case, maybe we should get rid
> of checking of models and assumptions
> more often. Then maybe we'd be able to
> solve some of the problems that the
> machine learning people can solve but
> we can't!

There was also the [**""Statistical Modeling: The Two Cultures""** paper][4] by Leo Breiman in 2001 which argued that Statisticians rely too heavily on data modeling, and that machine learning techniques are making progress by instead relying on the *predictive accuracy* of models.

Has the Statistics field changed over the last decade in response to these critiques?  Do the *two cultures* still exist or has Statistics grown to embrace machine learning techniques such as neural networks and support vector machines?


  [1]: http://anyall.org/
  [2]: http://anyall.org/blog/2008/12/statistics-vs-machine-learning-fight/
  [3]: http://www.stat.columbia.edu/~cook/movabletype/archives/2008/12/machine-learnin.html
  [4]: http://www.stat.osu.edu/~bli/dmsl/papers/Breiman.pdf",,
17,1,6,18914b59-1d73-4c14-a8b6-25d429a1888e,2010-07-19T19:14:44.080,5,The Two Cultures: statistics vs. machine learning?,,
18,3,6,18914b59-1d73-4c14-a8b6-25d429a1888e,2010-07-19T19:14:44.080,5,<statistics><machine-learning>,,
